id,timestamp,target,operation,delay_ms,status,error
336,2026-04-23T10:20:49.870Z,fabric,write,194,success,
337,2026-04-23T10:20:49.871Z,polygon,write,195,success,
338,2026-04-23T10:20:49.871Z,polygon,write,196,success,
339,2026-04-23T10:20:49.886Z,fabric,write,211,success,
340,2026-04-23T10:20:49.947Z,fabric,write,273,success,
341,2026-04-23T10:20:50.086Z,fabric,write,134,success,
342,2026-04-23T10:20:50.087Z,polygon,write,135,success,
343,2026-04-23T10:20:50.102Z,polygon,write,151,success,
344,2026-04-23T10:20:50.133Z,polygon,write,182,success,
345,2026-04-23T10:20:50.149Z,polygon,write,197,success,
346,2026-04-23T10:20:50.149Z,polygon,write,198,success,
347,2026-04-23T10:20:50.179Z,fabric,write,228,success,
348,2026-04-23T10:20:50.210Z,fabric,write,259,success,
349,2026-04-23T10:20:50.210Z,fabric,write,258,success,
350,2026-04-23T10:20:50.242Z,fabric,write,290,success,
351,2026-04-23T10:20:50.364Z,fabric,write,118,success,
352,2026-04-23T10:20:50.396Z,polygon,write,151,success,
353,2026-04-23T10:20:50.411Z,polygon,write,166,success,
354,2026-04-23T10:20:50.412Z,fabric,write,165,success,
355,2026-04-23T10:20:50.412Z,polygon,write,166,success,
356,2026-04-23T10:20:50.427Z,polygon,write,180,success,
357,2026-04-23T10:20:50.442Z,polygon,write,195,success,
358,2026-04-23T10:20:50.473Z,fabric,write,226,success,
359,2026-04-23T10:20:50.489Z,fabric,write,243,success,
360,2026-04-23T10:20:50.520Z,fabric,write,275,success,
361,2026-04-23T10:20:50.628Z,polygon,write,104,success,
362,2026-04-23T10:20:50.643Z,fabric,write,118,success,
363,2026-04-23T10:20:50.644Z,fabric,write,120,success,
364,2026-04-23T10:20:50.659Z,polygon,write,135,success,
365,2026-04-23T10:20:50.675Z,polygon,write,152,success,
366,2026-04-23T10:20:50.691Z,polygon,write,167,success,
367,2026-04-23T10:20:50.692Z,polygon,write,168,success,
368,2026-04-23T10:20:50.738Z,fabric,write,214,success,
369,2026-04-23T10:20:50.784Z,fabric,write,260,success,
370,2026-04-23T10:20:50.816Z,fabric,write,293,success,
371,2026-04-23T10:20:50.908Z,fabric,write,88,success,
372,2026-04-23T10:20:50.924Z,polygon,write,104,success,
373,2026-04-23T10:20:50.955Z,polygon,write,136,success,
374,2026-04-23T10:20:50.956Z,fabric,write,136,success,
375,2026-04-23T10:20:50.971Z,polygon,write,151,success,
376,2026-04-23T10:20:50.972Z,polygon,write,153,success,
377,2026-04-23T10:20:51.003Z,polygon,write,184,success,
378,2026-04-23T10:20:51.018Z,fabric,write,198,success,
379,2026-04-23T10:20:51.079Z,fabric,write,260,success,
380,2026-04-23T10:20:51.080Z,fabric,write,261,success,
381,2026-04-23T10:20:51.205Z,polygon,write,122,success,
382,2026-04-23T10:20:51.221Z,fabric,write,137,success,
383,2026-04-23T10:20:51.221Z,polygon,write,139,success,
384,2026-04-23T10:20:51.222Z,polygon,write,140,success,
385,2026-04-23T10:20:51.236Z,polygon,write,153,success,
386,2026-04-23T10:20:51.268Z,polygon,write,185,success,
387,2026-04-23T10:20:51.298Z,fabric,write,216,success,
388,2026-04-23T10:20:51.329Z,fabric,write,246,success,
389,2026-04-23T10:20:51.330Z,fabric,write,247,success,
390,2026-04-23T10:20:51.345Z,fabric,write,262,success,
391,2026-04-23T10:20:51.454Z,polygon,write,104,success,
392,2026-04-23T10:20:51.470Z,fabric,write,121,success,
393,2026-04-23T10:20:51.470Z,polygon,write,122,success,
394,2026-04-23T10:20:51.486Z,fabric,write,136,success,
395,2026-04-23T10:20:51.501Z,fabric,write,153,success,
396,2026-04-23T10:20:51.501Z,polygon,write,153,success,
397,2026-04-23T10:20:51.516Z,polygon,write,167,success,
398,2026-04-23T10:20:51.531Z,fabric,write,182,success,
399,2026-04-23T10:20:51.531Z,polygon,write,182,success,
400,2026-04-23T10:20:51.626Z,fabric,write,276,success,
401,2026-04-23T10:20:51.733Z,polygon,write,104,success,
402,2026-04-23T10:20:51.765Z,fabric,write,135,success,
403,2026-04-23T10:20:51.765Z,fabric,write,135,success,
404,2026-04-23T10:20:51.780Z,fabric,write,149,success,
405,2026-04-23T10:20:51.796Z,polygon,write,165,success,
406,2026-04-23T10:20:51.811Z,polygon,write,181,success,
407,2026-04-23T10:20:51.827Z,polygon,write,196,success,
408,2026-04-23T10:20:51.827Z,polygon,write,197,success,
409,2026-04-23T10:20:51.873Z,fabric,write,242,success,
410,2026-04-23T10:20:51.920Z,fabric,write,290,success,
411,2026-04-23T10:20:52.045Z,polygon,write,121,success,
412,2026-04-23T10:20:52.046Z,polygon,write,122,success,
413,2026-04-23T10:20:52.061Z,polygon,write,138,success,
414,2026-04-23T10:20:52.076Z,polygon,write,152,success,
415,2026-04-23T10:20:52.077Z,polygon,write,153,success,
